#options: 1920x1080 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=1 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=4147 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:100 out:102 type:b dur:2 cpbdur:2 q:31.13 aq:27.39 tex:30755 mv:22383 misc:7790 imb:251 pmb:2689 smb:5220 d:s ref:0 ;
in:102 out:103 type:b dur:2 cpbdur:2 q:31.08 aq:27.34 tex:32093 mv:24897 misc:7914 imb:307 pmb:2906 smb:4947 d:- ref:0 ;
in:107 out:104 type:P dur:2 cpbdur:2 q:30.97 aq:25.36 tex:244271 mv:71858 misc:1551 imb:4336 pmb:3667 smb:157 d:s ref:0 w:6,65,-4,4,17,-9,16,0 ;
in:105 out:105 type:B dur:2 cpbdur:2 q:31.01 aq:27.38 tex:106941 mv:47584 misc:7003 imb:928 pmb:5057 smb:2175 d:s ref:0 ;
in:104 out:106 type:b dur:2 cpbdur:2 q:31.03 aq:26.98 tex:48057 mv:39598 misc:8105 imb:1018 pmb:3134 smb:4008 d:s ref:0 ;
in:106 out:107 type:b dur:2 cpbdur:2 q:30.99 aq:27.18 tex:37859 mv:29890 misc:7995 imb:476 pmb:3241 smb:4443 d:- ref:0 ;
in:111 out:108 type:P dur:2 cpbdur:2 q:31.08 aq:25.83 tex:174931 mv:64117 misc:4024 imb:3180 pmb:4065 smb:915 d:s ref:0 ;
in:109 out:109 type:B dur:2 cpbdur:2 q:31.03 aq:26.25 tex:75567 mv:45609 misc:7648 imb:767 pmb:4451 smb:2942 d:s ref:0 ;
in:108 out:110 type:b dur:2 cpbdur:2 q:31.00 aq:27.05 tex:34236 mv:27216 misc:7972 imb:334 pmb:3065 smb:4761 d:s ref:0 ;
in:110 out:111 type:b dur:2 cpbdur:2 q:31.05 aq:27.12 tex:36006 mv:26690 misc:7952 imb:374 pmb:3096 smb:4690 d:- ref:0 ;
in:114 out:112 type:P dur:2 cpbdur:2 q:31.03 aq:25.39 tex:198236 mv:66980 misc:3368 imb:3687 pmb:3792 smb:681 d:s ref:0 ;
in:112 out:113 type:B dur:2 cpbdur:2 q:31.07 aq:26.58 tex:57182 mv:41702 misc:8044 imb:663 pmb:3888 smb:3609 d:s ref:0 ;
in:113 out:114 type:b dur:2 cpbdur:2 q:31.05 aq:26.99 tex:39804 mv:33450 misc:8122 imb:601 pmb:3385 smb:4174 d:- ref:0 ;
in:118 out:115 type:P dur:2 cpbdur:2 q:31.08 aq:25.35 tex:188024 mv:66139 misc:3309 imb:3714 pmb:3801 smb:645 d:s ref:0 ;
in:116 out:116 type:B dur:2 cpbdur:2 q:31.06 aq:26.07 tex:68818 mv:45203 misc:7779 imb:905 pmb:4307 smb:2948 d:s ref:0 ;
